label,ticker,category,country,currency
Vanguard FTSE Europe ETF / VGK,VGK,ETF,European Union,EUR
iShares Core MSCI Europe ETF / IEUR,IEUR,ETF,European Union,EUR
Euro STOXX 50 ETF / FEZ,FEZ,ETF,European Union,EUR
SAP / SAP,SAP,Stock,European Union,EUR
ASML / ASML,ASML,Stock,European Union,EUR
Siemens / SIE.DE,SIE.DE,Stock,European Union,EUR
Allianz / ALV.DE,ALV.DE,Stock,European Union,EUR
Nestle / NESN.SW,NESN.SW,Stock,European Union,EUR
Novo Nordisk / NOVO-B.CO,NOVO-B.CO,Stock,European Union,EUR
LVMH / MC.PA,MC.PA,Stock,European Union,EUR
Roche / ROG.SW,ROG.SW,Stock,European Union,EUR
AstraZeneca / AZN.L,AZN.L,Stock,European Union,EUR
Shell / SHEL.L,SHEL.L,Stock,European Union,EUR
Novartis / NOVN.SW,NOVN.SW,Stock,European Union,EUR
HSBC / HSBA.L,HSBA.L,Stock,European Union,EUR
Hermes / RMS.PA,RMS.PA,Stock,European Union,EUR
Unilever / ULVR.L,ULVR.L,Stock,European Union,EUR
L'Oreal / OR.PA,OR.PA,Stock,European Union,EUR
TotalEnergies / TTE.PA,TTE.PA,Stock,European Union,EUR
Sanofi / SAN.PA,SAN.PA,Stock,European Union,EUR
Airbus / AIR.PA,AIR.PA,Stock,European Union,EUR
Schneider Electric / SU.PA,SU.PA,Stock,European Union,EUR
Deutsche Telekom / DTE.DE,DTE.DE,Stock,European Union,EUR
Mercedes-Benz Group / MBG.DE,MBG.DE,Stock,European Union,EUR
BMW / BMW.DE,BMW.DE,Stock,European Union,EUR
Volkswagen Pref / VOW3.DE,VOW3.DE,Stock,European Union,EUR
Prosus / PRX.AS,PRX.AS,Stock,European Union,EUR
Adyen / ADYEN.AS,ADYEN.AS,Stock,European Union,EUR
Diageo / DGE.L,DGE.L,Stock,European Union,EUR
BP / BP.L,BP.L,Stock,European Union,EUR
Glencore / GLEN.L,GLEN.L,Stock,European Union,EUR
RELX / REL.L,REL.L,Stock,European Union,EUR
British American Tobacco / BATS.L,BATS.L,Stock,European Union,EUR
Rio Tinto / RIO.L,RIO.L,Stock,European Union,EUR
