label,ticker,category,country,currency
iShares MSCI Japan ETF / EWJ,EWJ,ETF,Japan,JPY
WisdomTree Japan Hedged / DXJ,DXJ,ETF,Japan,JPY
Toyota / 7203.T,7203.T,Stock,Japan,JPY
Sony / 6758.T,6758.T,Stock,Japan,JPY
Nintendo / 7974.T,7974.T,Stock,Japan,JPY
SoftBank Group / 9984.T,9984.T,Stock,Japan,JPY
Keyence / 6861.T,6861.T,Stock,Japan,JPY
Hitachi / 6501.T,6501.T,Stock,Japan,JPY
Mitsubishi UFJ / 8306.T,8306.T,Stock,Japan,JPY
Mitsubishi Corp / 8058.T,8058.T,Stock,Japan,JPY
Fast Retailing / 9983.T,9983.T,Stock,Japan,JPY
