label,ticker,category,country,currency
Samsung Electronics / 005930.KS,005930.KS,Stock,Korea,KRW
SK Hynix / 000660.KS,000660.KS,Stock,Korea,KRW
LG Energy Solution / 373220.KS,373220.KS,Stock,Korea,KRW
Hyundai Motor / 005380.KS,005380.KS,Stock,Korea,KRW
Samsung Biologics / 207940.KS,207940.KS,Stock,Korea,KRW
Kia / 000270.KS,000270.KS,Stock,Korea,KRW
KB Financial Group / 105560.KS,105560.KS,Stock,Korea,KRW
Celltrion / 068270.KS,068270.KS,Stock,Korea,KRW
NAVER / 035420.KS,035420.KS,Stock,Korea,KRW
Shinhan Financial Group / 055550.KS,055550.KS,Stock,Korea,KRW
Hyundai Mobis / 012330.KS,012330.KS,Stock,Korea,KRW
Samsung C&T / 028260.KS,028260.KS,Stock,Korea,KRW
POSCO Holdings / 005490.KS,005490.KS,Stock,Korea,KRW
Samsung SDI / 006400.KS,006400.KS,Stock,Korea,KRW
LG Chem / 051910.KS,051910.KS,Stock,Korea,KRW
LG Electronics / 066570.KS,066570.KS,Stock,Korea,KRW
Kakao / 035720.KS,035720.KS,Stock,Korea,KRW
Hana Financial Group / 086790.KS,086790.KS,Stock,Korea,KRW
Samsung Fire & Marine / 000810.KS,000810.KS,Stock,Korea,KRW
KT&G / 033780.KS,033780.KS,Stock,Korea,KRW
Korea Electric Power / 015760.KS,015760.KS,Stock,Korea,KRW
HD Hyundai Heavy Industries / 329180.KS,329180.KS,Stock,Korea,KRW
Hanwha Aerospace / 012450.KS,012450.KS,Stock,Korea,KRW
Doosan Enerbility / 034020.KS,034020.KS,Stock,Korea,KRW
SK Square / 402340.KS,402340.KS,Stock,Korea,KRW
Samsung Electro-Mechanics / 009150.KS,009150.KS,Stock,Korea,KRW
LG Corp / 003550.KS,003550.KS,Stock,Korea,KRW
HMM / 011200.KS,011200.KS,Stock,Korea,KRW
Hyundai Glovis / 086280.KS,086280.KS,Stock,Korea,KRW
Amorepacific / 090430.KS,090430.KS,Stock,Korea,KRW
KODEX 200 / 069500.KS,069500.KS,ETF,Korea,KRW
TIGER 200 / 102110.KS,102110.KS,ETF,Korea,KRW
KODEX CD금리액티브 / 459580.KS,459580.KS,ETF,Korea,KRW
TIGER CD금리투자KIS / 357870.KS,357870.KS,ETF,Korea,KRW
KODEX KOFR금리액티브 / 423160.KS,423160.KS,ETF,Korea,KRW
TIGER KOFR금리액티브 / 449170.KS,449170.KS,ETF,Korea,KRW
KODEX 단기채권 / 153130.KS,153130.KS,ETF,Korea,KRW
TIGER 단기통안채 / 157450.KS,157450.KS,ETF,Korea,KRW
KODEX 종합채권(AA-이상)액티브 / 273130.KS,273130.KS,ETF,Korea,KRW
KODEX 국고채30년액티브 / 439870.KS,439870.KS,ETF,Korea,KRW
KODEX 미국S&P500TR / 379800.KS,379800.KS,ETF,Korea,KRW
TIGER 미국S&P500 / 360750.KS,360750.KS,ETF,Korea,KRW
ACE 미국S&P500 / 360200.KS,360200.KS,ETF,Korea,KRW
RISE 미국S&P500 / 379780.KS,379780.KS,ETF,Korea,KRW
SOL 미국S&P500 / 433330.KS,433330.KS,ETF,Korea,KRW
KODEX 미국나스닥100TR / 379810.KS,379810.KS,ETF,Korea,KRW
TIGER 미국나스닥100 / 133690.KS,133690.KS,ETF,Korea,KRW
ACE 미국나스닥100 / 367380.KS,367380.KS,ETF,Korea,KRW
RISE 미국나스닥100 / 368590.KS,368590.KS,ETF,Korea,KRW
TIGER 미국테크TOP10 INDXX / 381170.KS,381170.KS,ETF,Korea,KRW
TIGER 미국필라델피아반도체나스닥 / 381180.KS,381180.KS,ETF,Korea,KRW
KODEX 미국배당다우존스 / 489250.KS,489250.KS,ETF,Korea,KRW
TIGER 미국배당다우존스 / 458730.KS,458730.KS,ETF,Korea,KRW
SOL 미국배당다우존스 / 446720.KS,446720.KS,ETF,Korea,KRW
KODEX 2차전지산업 / 305720.KS,305720.KS,ETF,Korea,KRW
TIGER 2차전지테마 / 305540.KS,305540.KS,ETF,Korea,KRW
KODEX 반도체 / 091160.KS,091160.KS,ETF,Korea,KRW
TIGER 반도체 / 091230.KS,091230.KS,ETF,Korea,KRW
TIGER Fn반도체TOP10 / 396500.KS,396500.KS,ETF,Korea,KRW
KODEX 자동차 / 091180.KS,091180.KS,ETF,Korea,KRW
TIGER 차이나전기차SOLACTIVE / 371460.KS,371460.KS,ETF,Korea,KRW
KODEX 골드선물(H) / 132030.KS,132030.KS,ETF,Korea,KRW
KODEX 200타겟위클리커버드콜 / 498400.KS,498400.KS,Covered Call ETF,Korea,KRW
TIGER 200커버드콜 / 289480.KS,289480.KS,Covered Call ETF,Korea,KRW
TIGER 미국나스닥100커버드콜(합성) / 441680.KS,441680.KS,Covered Call ETF,Korea,KRW
KODEX 미국나스닥100커버드콜(합성) / 449190.KS,449190.KS,Covered Call ETF,Korea,KRW
TIGER 미국S&P500배당귀족커버드콜 / 429000.KS,429000.KS,Covered Call ETF,Korea,KRW
KODEX 미국S&P500배당귀족커버드콜 / 276970.KS,276970.KS,Covered Call ETF,Korea,KRW
TIGER 미국30년국채커버드콜액티브(H) / 476550.KS,476550.KS,Covered Call ETF,Korea,KRW
KODEX 미국30년국채타겟커버드콜(합성 H) / 487230.KS,487230.KS,Covered Call ETF,Korea,KRW
RISE 미국30년국채커버드콜 / 472830.KS,472830.KS,Covered Call ETF,Korea,KRW
